가입일자,사용자코드,연령대코드,성별,가입 수,,
2021-02-27,USR_001,AGE_003,F,456,,
2021-02-27,USR_001,AGE_003,M,494,,
2021-02-27,USR_001,AGE_004,F,296,,
2021-02-27,USR_001,AGE_004,M,293,,
2021-02-27,USR_001,AGE_005,F,163,,
2021-02-27,USR_001,AGE_005,M,154,,
2021-02-27,USR_001,AGE_006,F,30,,
2021-02-27,USR_001,AGE_006,M,42,,
2021-02-27,USR_001,AGE_007,F,2,,
2021-02-27,USR_001,AGE_007,M,8,,
2021-02-27,USR_001,AGE_008,F,46,,
2021-02-27,USR_001,AGE_008,M,35,,
2021-02-28,USR_001,AGE_001,F,350,,
2021-02-28,USR_001,AGE_001,M,300,,
2021-02-28,USR_001,AGE_002,F,894,,
2021-02-28,USR_001,AGE_002,M,774,,
2021-02-28,USR_001,AGE_003,F,368,,
2021-02-28,USR_001,AGE_003,M,420,,
2021-02-28,USR_001,AGE_004,F,320,,
2021-02-28,USR_001,AGE_004,M,329,,
2021-02-28,USR_001,AGE_005,F,149,,
2021-02-28,USR_001,AGE_005,M,145,,
2021-02-28,USR_001,AGE_006,F,35,,
2021-02-28,USR_001,AGE_006,M,41,,
2021-02-28,USR_001,AGE_007,F,3,,
2021-02-28,USR_001,AGE_007,M,6,,
2021-02-28,USR_001,AGE_008,F,29,,
2021-02-28,USR_001,AGE_008,M,46,,
2021-03-01,USR_001,AGE_001,F,34,,69606
2021-03-01,USR_001,AGE_001,M,36,,
2021-03-01,USR_001,AGE_002,F,91,,
2021-03-01,USR_001,AGE_002,M,69,,
2021-03-01,USR_001,AGE_003,F,39,,
2021-03-01,USR_001,AGE_003,M,34,,
2021-03-01,USR_001,AGE_004,F,22,,
2021-03-01,USR_001,AGE_004,M,31,,
2021-03-01,USR_001,AGE_005,F,13,,
2021-03-01,USR_001,AGE_005,M,21,,
2021-03-01,USR_001,AGE_006,F,6,,
2021-03-01,USR_001,AGE_006,M,17,,
2021-03-01,USR_001,AGE_007,F,2,,
2021-03-01,USR_001,AGE_007,M,1,,
2021-03-01,USR_001,AGE_008,F,16,,
2021-03-01,USR_001,AGE_008,M,18,,
2021-03-02,USR_001,AGE_001,F,121,,
2021-03-02,USR_001,AGE_001,M,99,,
2021-03-02,USR_001,AGE_002,F,300,,
2021-03-02,USR_001,AGE_002,M,261,,
2021-03-02,USR_001,AGE_003,F,87,,
2021-03-02,USR_001,AGE_003,M,103,,
2021-03-02,USR_001,AGE_004,F,53,,
2021-03-02,USR_001,AGE_004,M,66,,
2021-03-02,USR_001,AGE_005,F,34,,
2021-03-02,USR_001,AGE_005,M,43,,
2021-03-02,USR_001,AGE_006,F,7,,
2021-03-02,USR_001,AGE_006,M,18,,
2021-03-02,USR_001,AGE_007,F,1,,
2021-03-02,USR_001,AGE_007,M,7,,
2021-03-02,USR_001,AGE_008,F,13,,
2021-03-02,USR_001,AGE_008,M,18,,
2021-03-03,USR_001,AGE_001,F,108,,
2021-03-03,USR_001,AGE_001,M,115,,
2021-03-03,USR_001,AGE_002,F,356,,
2021-03-03,USR_001,AGE_002,M,303,,
2021-03-03,USR_001,AGE_003,F,130,,
2021-03-03,USR_001,AGE_003,M,127,,
2021-03-03,USR_001,AGE_004,F,86,,
2021-03-03,USR_001,AGE_004,M,80,,
2021-03-03,USR_001,AGE_005,F,51,,
2021-03-03,USR_001,AGE_005,M,51,,
2021-03-03,USR_001,AGE_006,F,16,,
2021-03-03,USR_001,AGE_006,M,18,,
2021-03-03,USR_001,AGE_007,F,2,,
2021-03-03,USR_001,AGE_007,M,2,,
2021-03-03,USR_001,AGE_008,F,15,,
2021-03-03,USR_001,AGE_008,M,22,,
2021-03-04,USR_001,AGE_001,F,103,,
2021-03-04,USR_001,AGE_001,M,117,,
2021-03-04,USR_001,AGE_002,F,359,,
